epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,477.542,1.61395,2.84244,1.89224,0.18458,0.16284,0.11179,0.04911,2.26021,3.69632,2.36399,0.000552237,0.000552237,0.000552237
2,882.981,1.66753,2.6228,1.94507,0.11033,0.21175,0.06237,0.02509,2.47614,4.23948,2.64968,0.00105306,0.00105306,0.00105306
3,1287.73,1.64837,2.53293,1.94226,0.2235,0.20056,0.13506,0.05717,2.24953,3.32588,2.48317,0.00149888,0.00149888,0.00149888
4,1689.56,1.62718,2.49251,1.94384,0.19244,0.21521,0.13597,0.06159,2.15415,3.20778,2.39716,0.00141945,0.00141945,0.00141945
5,2090.43,1.58814,2.41521,1.92606,0.2118,0.21309,0.1402,0.06917,2.11693,3.06158,2.45935,0.00133693,0.00133693,0.00133693
6,2490.73,1.55367,2.33552,1.87531,0.28164,0.22875,0.18871,0.08078,2.0313,2.87409,2.21192,0.00125442,0.00125442,0.00125442
7,2893.15,1.51638,2.30504,1.8494,0.20973,0.24967,0.16096,0.07599,2.03848,3.07662,2.25186,0.0011719,0.0011719,0.0011719
8,3311.44,1.51507,2.25045,1.83489,0.30077,0.24655,0.17162,0.07555,2.05509,2.92473,2.23762,0.00108938,0.00108938,0.00108938
9,3723.38,1.48656,2.2291,1.81049,0.27819,0.24329,0.21833,0.09569,1.99228,2.61574,2.2186,0.00100687,0.00100687,0.00100687
10,4306.32,1.43821,2.13814,1.78339,0.2498,0.24234,0.20604,0.08538,2.01186,2.86673,2.1731,0.000924352,0.000924352,0.000924352
11,5079.06,1.70283,2.35014,2.06029,0.31614,0.29733,0.23798,0.09711,1.99602,2.57078,2.16146,0.000841835,0.000841835,0.000841835
12,5848.93,1.64907,2.26574,2.0235,0.44118,0.26531,0.27708,0.11628,1.89422,2.62057,2.06807,0.000759318,0.000759318,0.000759318
13,6618.44,1.6314,2.20344,2.00127,0.35857,0.26097,0.24541,0.11074,1.99971,2.64719,2.14774,0.000676802,0.000676802,0.000676802
14,7379.09,1.61746,2.15404,1.98868,0.36782,0.30577,0.29459,0.14102,1.89573,2.39008,2.04854,0.000594286,0.000594286,0.000594286
15,8130.01,1.58297,2.1136,1.96625,0.33425,0.31771,0.28923,0.14291,1.8535,2.463,2.01543,0.000511769,0.000511769,0.000511769
16,8893.92,1.55765,2.05747,1.94075,0.43438,0.35535,0.34945,0.16231,1.83879,2.30211,2.0119,0.000429253,0.000429253,0.000429253
17,9703.03,1.54693,2.01293,1.92768,0.49936,0.34227,0.36257,0.16597,1.86254,2.24674,2.01341,0.000346736,0.000346736,0.000346736
18,10519.6,1.53346,1.95442,1.90582,0.43412,0.37534,0.36658,0.1742,1.82109,2.22199,1.99586,0.00026422,0.00026422,0.00026422
19,11336.7,1.50494,1.91197,1.88552,0.45378,0.35546,0.37536,0.18071,1.81465,2.17966,1.97909,0.000181703,0.000181703,0.000181703
20,12028.1,1.48467,1.88022,1.86001,0.45588,0.38517,0.39528,0.18729,1.80881,2.17073,1.96698,9.91865e-05,9.91865e-05,9.91865e-05
